Step,Temp,PotEng,TotEng,v_tipxx,v_tipxy,v_tipxz,v_tipfx,v_tipfy,v_tipfz
107000,301.18747,-18561.215,-18415.494,26.080669,32.091532,34.952808,-1.07E-15,7.91E-15,1.78E-15
108000,296.39604,-18563.07,-18419.668,26.080669,32.091532,34.942808,-1.07E-15,5.07E-15,-2.95E-14
109000,299.6029,-18569.79,-18424.836,26.080669,32.091532,34.932808,3.20E-15,5.07E-15,-2.31E-14
110000,302.67142,-18561.584,-18415.146,26.080669,32.091532,34.922808,-1.07E-15,7.91E-15,1.78E-15
111000,294.46436,-18566.412,-18423.944,26.080669,32.091532,34.912808,-1.07E-15,7.91E-15,1.78E-15
112000,294.80787,-18558.28,-18415.646,26.080669,32.091532,34.902808,1.78E-15,-3.47E-15,-2.38E-14
113000,298.40143,-18563.689,-18419.316,26.080669,32.091532,34.892808,3.20E-15,5.07E-15,-2.31E-14
114000,296.66132,-18564.583,-18421.052,26.080669,32.091532,34.882808,-1.07E-15,7.91E-15,1.78E-15
115000,300.08049,-18558.729,-18413.544,26.080669,32.091532,34.872808,-1.07E-15,7.91E-15,1.78E-15
116000,297.27357,-18565.098,-18421.271,26.080669,32.091532,34.862808,1.78E-15,-3.47E-15,-2.38E-14
117000,302.71397,-18561.166,-18414.707,26.080669,32.091532,34.852808,3.20E-15,-6.23E-16,-1.17E-14
118000,305.44767,-18564.275,-18416.493,26.080669,32.091532,34.842808,-1.07E-15,7.91E-15,1.78E-15
119000,307.34562,-18561.89,-18413.19,26.080669,32.091532,34.832808,1.78E-15,-3.47E-15,-2.38E-14
120000,294.77889,-18564.756,-18422.136,26.080669,32.091532,34.822808,3.20E-15,5.07E-15,-2.31E-14
121000,301.67291,-18560.368,-18414.412,26.080669,32.091532,34.812808,-1.07E-15,7.91E-15,1.78E-15
122000,302.21748,-18562.864,-18416.645,26.080669,32.091532,34.802808,-1.07E-15,7.91E-15,1.78E-15
123000,303.24084,-18564.16,-18417.446,26.080669,32.091532,34.792808,1.78E-15,-3.47E-15,-2.38E-14
124000,297.63337,-18566.292,-18422.291,26.080669,32.091532,34.782808,3.20E-15,5.07E-15,-2.31E-14
125000,293.47112,-18561.719,-18419.732,26.080669,32.091532,34.772808,-1.07E-15,7.91E-15,1.78E-15
126000,293.73952,-18562.14,-18420.023,26.080669,32.091532,34.762808,1.78E-15,-3.47E-15,-2.38E-14
127000,293.37211,-18563.811,-18421.871,26.080669,32.091532,34.752808,3.20E-15,5.07E-15,-2.31E-14
128000,299.26344,-18563.453,-18418.664,26.080669,32.091532,34.742808,-1.07E-15,7.91E-15,1.78E-15
129000,297.6926,-18559.665,-18415.635,26.080669,32.091532,34.732808,-1.07E-15,7.91E-15,1.78E-15
130000,297.87159,-18563.082,-18418.965,26.080669,32.091532,34.722808,1.78E-15,-3.47E-15,-2.38E-14
131000,301.52145,-18562.681,-18416.799,26.080669,32.091532,34.712808,3.20E-15,5.07E-15,-2.31E-14
132000,289.0004,-18562.887,-18423.062,26.080669,32.091532,34.702808,-1.07E-15,7.91E-15,1.78E-15
133000,295.99881,-18562.956,-18419.745,26.080669,32.091532,34.692808,-1.07E-15,5.07E-15,-2.95E-14
134000,303.72759,-18563.688,-18416.739,26.080669,32.091532,34.682808,3.20E-15,5.07E-15,-2.31E-14
135000,296.32381,-18561.752,-18418.385,26.080669,32.091532,34.672808,-1.07E-15,7.91E-15,1.78E-15
136000,289.20485,-18566.482,-18426.559,26.080669,32.091532,34.662808,-1.07E-15,7.91E-15,1.78E-15
137000,301.28379,-18561.07,-18415.302,26.080669,32.091532,34.652808,1.78E-15,-3.47E-15,-2.38E-14
138000,300.67612,-18564.352,-18418.878,26.080669,32.091532,34.642808,3.20E-15,5.07E-15,-2.31E-14
139000,304.38993,-18565.842,-18418.572,26.080669,32.091532,34.632808,-1.07E-15,7.91E-15,1.78E-15
140000,289.53538,-18563.071,-18422.988,26.080669,32.091532,34.622808,-1.07E-15,7.91E-15,1.78E-15
141000,300.89267,-18564.734,-18419.156,26.080669,32.091532,34.612808,1.78E-15,-3.47E-15,-2.38E-14
142000,298.10725,-18562.619,-18418.388,26.080669,32.091532,34.602808,3.20E-15,-6.23E-16,-1.17E-14
143000,293.55293,-18565.753,-18423.726,26.080669,32.091532,34.592808,-1.07E-15,7.91E-15,1.78E-15
144000,296.29163,-18566.32,-18422.968,26.080669,32.091532,34.582808,1.78E-15,-3.47E-15,-2.38E-14
145000,306.79318,-18563.523,-18415.09,26.080669,32.091532,34.572808,3.20E-15,5.07E-15,-2.31E-14
146000,296.29739,-18562.57,-18419.215,26.080669,32.091532,34.562808,-1.07E-15,7.91E-15,1.78E-15
147000,296.62617,-18562.972,-18419.458,26.080669,32.091532,34.552808,-1.07E-15,7.91E-15,1.78E-15
148000,293.36347,-18559.347,-18417.411,26.080669,32.091532,34.542808,1.78E-15,-3.47E-15,-2.38E-14
149000,293.17954,-18562.977,-18421.13,26.080669,32.091532,34.532808,3.20E-15,5.07E-15,-2.31E-14
150000,303.88927,-18561.328,-18414.3,26.080669,32.091532,34.522808,-1.07E-15,7.91E-15,1.78E-15
151000,296.80796,-18566.181,-18422.579,26.080669,32.091532,34.512808,1.78E-15,-3.47E-15,-2.38E-14
152000,299.30077,-18562.314,-18417.506,26.080669,32.091532,34.502808,3.20E-15,5.07E-15,-2.31E-14
153000,300.14781,-18566.818,-18421.6,26.080669,32.091532,34.492808,-1.07E-15,7.91E-15,1.78E-15
154000,300.64023,-18561.786,-18416.33,26.080669,32.091532,34.482808,-1.07E-15,7.91E-15,1.78E-15
155000,298.08876,-18564.813,-18420.592,26.080669,32.091532,34.472808,1.78E-15,-3.47E-15,-2.38E-14
156000,297.66993,-18566.659,-18422.64,26.080669,32.091532,34.462808,3.20E-15,5.07E-15,-2.31E-14
157000,302.15109,-18562.349,-18416.162,26.080669,32.091532,34.452808,-1.07E-15,7.91E-15,1.78E-15
158000,295.80473,-18563.049,-18419.933,26.080669,32.091532,34.442808,-1.07E-15,5.07E-15,-2.95E-14
159000,298.78334,-18561.281,-18416.724,26.080669,32.091532,34.432808,3.20E-15,5.07E-15,-2.31E-14
160000,293.80653,-18565.438,-18423.288,26.080669,32.091532,34.422808,-1.07E-15,7.91E-15,1.78E-15
161000,305.55121,-18565.566,-18417.734,26.080669,32.091532,34.412808,-1.07E-15,7.91E-15,1.78E-15
162000,300.68501,-18562.968,-18417.491,26.080669,32.091532,34.402808,1.78E-15,-3.47E-15,-2.38E-14
